Event key,Component key,Event path,Education level,Database query type,Affected table,Since,Legacy event,Component_pt,Event name_pt,Component_it,Event name_it,Component_fr,Event name_fr,Component_de,Event name_de,Component_ca,Event name_ca,Component_en,Event name_en,Component_es,Event name_es
EXTERNAL_REGISTERED_BLOGS_VIEWED,SYSTEM,\core\event\blog_external_viewed,Participating,read,,3.2,,System,Visualizados os blogues externos registados,System,Visualizzato blog esterno registrato,System,Blog externe enregistré consulté,System,Extern verbundene Blogs angezeigt,System,S'han mostrat els blogs externs registrats,System,External registered blogs viewed,System,Blogs externos registrados visualizados
CALENDAR_EVENT_CREATED,SYSTEM,\core\event\calendar_event_created,Other,create,event,2.7,,System,Evento de calendário criado,System,Creato evento di calendario,System,Événement de calendrier créé,System,Kalendereintrag angelegt,System,S'ha creat un esdeveniment del calendari,System,Calendar event created,System,Evento de calendario creado
CALENDAR_EVENT_DELETED,SYSTEM,\core\event\calendar_event_deleted,Other,delete,event,2.7,,System,Evento de calendário eliminado,System,Eliminato evento di calendario,System,Événement de calendrier supprimé,System,Termin gelöscht,System,S'ha suprimit un esdeveniment del calendari,System,Calendar event deleted,System,Evento de calendario borrado
CALENDAR_EVENT_UPDATED,SYSTEM,\core\event\calendar_event_updated,Other,update,event,2.7,,System,Evento de calendário atualizado,System,Aggiornato evento di calendario,System,Événement de calendrier modifié,System,Termin aktualisiert,System,S'ha actualitzat un esdeveniment del calendari,System,Calendar event updated,System,Evento de calendario actualizado
CALENDAR_SUBSCRIPTION_CREATED,SYSTEM,\core\event\calendar_subscription_created,Other,create,event_subscriptions,3.2,,System,Criada subscrição de calendário,System,Creata sottoscrizione al calendario,System,Abonnement à un calendrier créé,System,Kalenderabonnement angelegt,System,S'ha creat una subscripció al calendari,System,Calendar subscription created,System,Suscripción al calendario creada
CALENDAR_SUBSCRIPTION_DELETED,SYSTEM,\core\event\calendar_subscription_deleted,Other,delete,event_subscriptions,3.2,,System,Subscrição de calendário apagada,System,Eliminata sottoscrizione al calendario,System,Abonnement à un calendrier supprimé,System,Kalenderabonnement gelöscht,System,S'ha suprimit una subscripció al calendari,System,Calendar subscription deleted,System,Suscripción al calendario eliminada
CALENDAR_SUBSCRIPTION_UPDATED,SYSTEM,\core\event\calendar_subscription_updated,Other,update,event_subscriptions,3.2,,System,Subscrição de calendário atualizada,System,Aggiornata sottoscrizione al calendario,System,Abonnement à un calendrier modifié,System,Kalenderabonnement aktualisiert,System,S'ha actualitzat una subscripció al calendari,System,Calendar subscription updated,System,Suscripción al calendario actualizada
COHORT_CREATED,SYSTEM,\core\event\cohort_created,Other,create,cohort,2.6,cohort_added,System,Grupo global criado,System,Creato gruppo globale,System,Cohorte créée,System,Globale Gruppe angelegt,System,S'ha creat la cohort,System,Cohort created,System,Cohorte creada
COHORT_DELETED,SYSTEM,\core\event\cohort_deleted,Other,delete,cohort,2.6,cohort_deleted,System,Grupo global eliminado,System,Eliminato gruppo globale,System,Cohorte supprimée,System,Globale Gruppe gelöscht,System,S'ha suprimit la cohort,System,Cohort deleted,System,Cohorte eliminada
USER_ADDED_TO_A_COHORT,SYSTEM,\core\event\cohort_member_added,Other,create,cohort,2.6,cohort_member_added,System,Utilizador adicionado a um grupo global,System,Inserito utente in gruppo globale,System,Utilisateur ajouté à une cohorte,System,Nutzer/in zu globaler Gruppe hinzugefügt,System,S'ha afegit un usuari a la cohort,System,User added to a cohort,System,Usuario añadido a una cohorte
USER_REMOVED_FROM_A_COHORT,SYSTEM,\core\event\cohort_member_removed,Other,delete,cohort,2.6,cohort_member_removed,System,Utilizador removido de um grupo global,System,Rimosso utente dal gruppo globale,System,Utilisateur retiré d'une cohorte,System,Nutzer/in aus globaler Gruppe entfernt,System,S'ha tret un usuari de la cohort,System,User removed from a cohort,System,Usuario eliminado de una cohorte
COHORT_UPDATED,SYSTEM,\core\event\cohort_updated,Other,update,cohort,2.6,cohort_updated,System,Grupo global atualizado,System,Aggiornato gruppo globale,System,Cohorte modifiée,System,Globale Gruppe aktualisiert,System,S'ha actualitzat la cohort,System,Cohort updated,System,Cohorte actualizada
COMMENT_CREATED,SYSTEM,\core\event\competency_comment_created,Participating,create,comments,3.1,,System,Comentário criado,System,Creato commento,System,Commentaire créé,System,Kommentar angelegt,System,Comentari creat,System,Comment created,System,Comentario creado
COMMENT_DELETED,SYSTEM,\core\event\competency_comment_deleted,Participating,delete,comments,3.1,,System,Comentário apagado,System,Eliminato commento,System,Commentaire supprimé,System,Kommentar gelöscht,System,Comentari suprimit,System,Comment deleted,System,Comentario eliminado
COMPETENCY_CREATED,SYSTEM,\core\event\competency_created,Other,create,competency,3.1,,System,Competência criada.,System,Creata competenza.,System,Compétence créée,System,Kompetenz angelegt,System,S'ha creat la competència.,System,Competency created.,System,Competencia creada.
COMPETENCY_DELETED,SYSTEM,\core\event\competency_deleted,Other,delete,competency,3.1,,System,Competência eliminada.,System,Eliminata competenza.,System,Compétence supprimée,System,Kompetenz gelöscht,System,S'ha esborrat la competència.,System,Competency deleted.,System,Competencia eliminada.
EVIDENCE_CREATED,SYSTEM,\core\event\competency_evidence_created,Teaching,create,competency_evidence,3.1,,System,Comprovativo criado.,System,Creata attestazione.,System,Preuve de compétence créée,System,Beleg angelegt,System,S'ha creat l'evidència.,System,Evidence created.,System,Evidencia creada.
COMPETENCY_FRAMEWORK_CREATED,SYSTEM,\core\event\competency_framework_created,Other,create,competency_framework,3.1,,System,Quadro de competências criado.,System,Creato quadro di competenze.,System,Référentiel de compétences créé,System,Kompetenzrahmen angelegt,System,S'ha creat el marc de competències.,System,Competency framework created.,System,Marco de competencia creado.
COMPETENCY_FRAMEWORK_DELETED,SYSTEM,\core\event\competency_framework_deleted,Other,delete,competency_framework,3.1,,System,Quadro de competências eliminado.,System,Eliminato quadro di competenze.,System,Référentiel de compétences supprimé,System,Kompetenzrahmen gelöscht,System,S'ha eliminat el marc de competències.,System,Competency framework deleted.,System,Marco de competencia eliminado.
COMPETENCY_FRAMEWORK_UPDATED,SYSTEM,\core\event\competency_framework_updated,Other,update,competency_framework,3.1,,System,Quadro de competências atualizado.,System,Aggiornato quadro di competenze.,System,Référentiel de compétences modifié,System,Kompetenzrahmen aktualisiert,System,S'ha actualitzat el marc de competències.,System,Competency framework updated.,System,Marco de competencia modificado.
COMPETENCY_FRAMEWORK_VIEWED,SYSTEM,\core\event\competency_framework_viewed,Other,read,competency_framework,3.1,,System,Quadro de competências visualizado.,System,Visualizzato quadro di competenze.,System,Référentiel de compétences consulté,System,Kompetenzrahmen angezeigt,System,S'ha visualitzat el marc de competències.,System,Competency framework viewed.,System,Marco de competencia visto.
LEARNING_PLAN_APPROVED,SYSTEM,\core\event\competency_plan_approved,Other,update,competency_plan,3.1,,System,Plano de aprendizagem aprovado.,System,Approvato piano di formazione.,System,Plan de formation approuvé,System,Lernplan überprüft,System,S'ha aprovat el pla d'aprenentatge.,System,Learning plan approved.,System,Plan de aprendizaje aprobado.
LEARNING_PLAN_COMPLETED,SYSTEM,\core\event\competency_plan_completed,Other,update,competency_plan,3.1,,System,Plano de aprendizagem concluído.,System,Completato piano di formazione,System,Plan de formation terminé,System,Lernplan abgeschlossen,System,S'ha completat el pla d'aprenentatge.,System,Learning plan completed.,System,Plan de aprendizaje completado.
LEARNING_PLAN_CREATED,SYSTEM,\core\event\competency_plan_created,Other,create,competency_plan,3.1,,System,Plano de aprendizagem criado.,System,Creato piano di formazione.,System,Plan de formation créé,System,Lernplan angelegt,System,S'ha creat el pla d'aprenentatge.,System,Learning plan created.,System,Plan de aprendizaje creado.
LEARNING_PLAN_DELETED,SYSTEM,\core\event\competency_plan_deleted,Other,delete,competency_plan,3.1,,System,Plano de aprendizagem eliminado.,System,Eliminato piano di formazione.,System,Plan de formation supprimé,System,Lernplan gelöscht,System,S'ha esborrat el pla d'aprenentatge.,System,Learning plan deleted.,System,Plan de aprendizaje eliminado.
LEARNING_PLAN_REOPENED,SYSTEM,\core\event\competency_plan_reopened,Other,update,competency_plan,3.1,,System,Plano de aprendizagem reaberto.,System,Riaperto piano di formazione.,System,Plan de formation rouvert,System,Lernplan erneut geöffnet,System,S'ha reobert el pla d'aprenentatge.,System,Learning plan reopened.,System,Plan de aprendizaje reabierto.
LEARNING_PLAN_REVIEW_REQUEST_CANCELLED,SYSTEM,\core\event\competency_plan_review_request_cancelled,Other,update,competency_plan,3.1,,System,Pedido de revisão do plano de aprendizagem cancelado.,System,Annullata richiesta revisione piano di formazione.,System,Demande de validation de plan de formation annulée.,System,Anfrage zur Lernplanprüfung abgebrochen,System,S'ha cancel·lat la petició de revisió del pla d'aprenentatge.,System,Learning plan review request cancelled.,System,Solicitud de revisión del plan de aprendizaje cancelada.
LEARNING_PLAN_REVIEW_REQUESTED,SYSTEM,\core\event\competency_plan_review_requested,Other,update,competency_plan,3.1,,System,Revisão do plano de aprendizagem solicitada.,System,Richiesta revisione piano di formazione.,System,Validation de plan de formation demandée.,System,Lernplanprüfung angefragt,System,S'ha demanat la revisió del pla d'aprenentatge.,System,Learning plan review requested.,System,Revisión del plan de aprendizaje solicitada.
LEARNING_PLAN_REVIEW_STARTED,SYSTEM,\core\event\competency_plan_review_started,Other,update,competency_plan,3.1,,System,Revisão do plano de aprendizagem iniciada.,System,Iniziata revisione piano di formazione.,System,Validation de plan de formation commencée.,System,Lernplanprüfung begonnen,System,S'ha començat la revisió del pla d'aprenentatge.,System,Learning plan review started.,System,Learning plan review started.
LEARNING_PLAN_REVIEW_STOPPED,SYSTEM,\core\event\competency_plan_review_stopped,Other,update,competency_plan,3.1,,System,Revisão do plano de aprendizagem terminada.,System,Fermata revisione piano di formazione.,System,Validation de plan de formation arrêtée.,System,Lernplanprüfung angehalten,System,S'ha aturat la revisió del pla d'aprenentatge.,System,Learning plan review stopped.,System,Learning plan review stopped.
LEARNING_PLAN_UNAPPROVED,SYSTEM,\core\event\competency_plan_unapproved,Other,update,competency_plan,3.1,,System,Plano de aprendizagem não aprovado.,System,Disapprovato piano di formazione.,System,Plan de formation désapprouvé,System,Lernplan nicht genehmigt,System,No s'ha aprovat el pla d'aprenentatge.,System,Learning plan unapproved.,System,Learning plan unapproved.
LEARNING_PLAN_UNLINKED,SYSTEM,\core\event\competency_plan_unlinked,Other,update,competency_plan,3.1,,System,Plano de aprendizagem desassociado.,System,Scollegato piano di formazione.,System,Plan de formation délié,System,Lernplan nicht verlinkt,System,S'ha desenllaçat el pla d'aprenentatge.,System,Learning plan unlinked.,System,Learning plan unlinked.
LEARNING_PLAN_UPDATED,SYSTEM,\core\event\competency_plan_updated,Other,update,competency_plan,3.1,,System,Plano de aprendizagem atualizado.,System,Aggiornato piano di formazione.,System,Plan de formation modifié,System,Lernplan aktualisiert,System,S'ha actualitzat el pla d'aprenentatge.,System,Learning plan updated.,System,Learning plan updated.
LEARNING_PLAN_VIEWED,SYSTEM,\core\event\competency_plan_viewed,Other,read,competency_plan,3.1,,System,Plano de aprendizagem visualizado.,System,Visualizzato piano di formazione.,System,Plan de formation consulté,System,Lernplan angezeigt,System,S'ha visualitzat el pla d'aprenentatge.,System,Learning plan viewed.,System,Learning plan viewed.
LEARNING_PLAN_TEMPLATE_CREATED,SYSTEM,\core\event\competency_template_created,Other,create,competency_template,3.1,,System,Modelo do plano de aprendizagem criado.,System,Creato modello di piano di formazione.,System,Modèle de plan de formation créé,System,Vorlage für Lernplan angelegt,System,S'ha creat la plantilla del pla d'aprenentatge.,System,Learning plan template created.,System,Learning plan template created.
LEARNING_PLAN_TEMPLATE_DELETED,SYSTEM,\core\event\competency_template_deleted,Other,delete,competency_template,3.1,,System,Modelo do plano de aprendizagem eliminado.,System,Eliminato modello di piano di formazione.,System,Modèle de plan de formation supprimé,System,Vorlage für Lernplan gelöscht,System,S'ha esborrat la plantilla de pla d'aprenentatge.,System,Learning plan template deleted.,System,Learning plan template deleted.
LEARNING_PLAN_TEMPLATE_UPDATED,SYSTEM,\core\event\competency_template_updated,Other,update,competency_template,3.1,,System,Modelo do plano de aprendizagem atualizado.,System,Aggiornato modello di piano di formazione.,System,Modèle de plan de formation modifié,System,Vorlage für Lernplan aktualisiert,System,S'ha actualitzat la plantilla de pla d'aprenentatge.,System,Learning plan template updated.,System,Learning plan template updated.
LEARNING_PLAN_TEMPLATE_VIEWED,SYSTEM,\core\event\competency_template_viewed,Other,read,competency_template,3.1,,System,Modelo do plano de aprendizagem visualizado.,System,Visualizzato modello di piano di formazione.,System,Modèle de plan de formation consulté,System,Vorlage für Lernplan angezeigt,System,S'ha visualitzat la plantilla del pla d'aprenentatge.,System,Learning plan template viewed.,System,Learning plan template viewed.
COMPETENCY_UPDATED,SYSTEM,\core\event\competency_updated,Other,update,competency,3.1,,System,Competência atualizada.,System,Aggiornata competenza.,System,Compétence modifiée,System,Kompetenz aktualisiert,System,S'ha actualitzat la competència.,System,Competency updated.,System,Competencia actualizada.
USER_COMPETENCY_PLAN_VIEWED,SYSTEM,\core\event\competency_user_competency_plan_viewed,Participating,read,competency_usercompplan,3.1,,System,Plano de competência do utilizador visualizado.,System,Visualizzato piano delle competenze dell'utente.,System,Plan de compétences utilisateur consulté,System,Nutzerkompetenzplan angezeigt,System,S'ha visualitzat el pla de competència de l'usuari.,System,User competency plan viewed.,System,User competency plan viewed.
USER_COMPETENCY_RATED,SYSTEM,\core\event\competency_user_competency_rated,Teaching,update,competency_usercomp,3.1,,System,Competência do utilizador avaliada.,System,Valutata competenza utente.,System,Compétence utilisateur évaluée,System,Nutzerkompetenz bewertet,System,Competència de l'usuari qualificada.,System,User competency rated.,System,User competency rated.
USER_COMPETENCY_RATED_IN_COURSE,SYSTEM,\core\event\competency_user_competency_rated_in_course,Teaching,update,competency_usercompcourse,3.1,,System,Competência do utilizador avaliada na disciplina.,System,Valutata competenza utente in un corso.,System,Compétence utilisateur évaluée dans un cours,System,Nutzerkompetenz im Kurs bewertet,System,Competència de l'usuari qualificada en un curs.,System,User competency rated in course.,System,User competency rated in course.
USER_COMPETENCY_RATED_IN_A_LEARNING_PLAN,SYSTEM,\core\event\competency_user_competency_rated_in_plan,Teaching,update,competency_usercomp,3.1,,System,Competência do utilizador avaliada num plano de aprendizagem.,System,Valutata competenza utente in un piano di formazione.,System,Compétence utilisateur évaluée dans un plan de formation,System,Nutzerkompetenz im Lernplan bewertet,System,Competència de l'usuari qualificada en un pla d'aprenentatge.,System,User competency rated in a learning plan.,System,User competency rated in a learning plan.
USER_COMPETENCY_REVIEW_REQUEST_CANCELLED,SYSTEM,\core\event\competency_user_competency_review_request_cancelled,Participating,update,competency_usercomp,3.1,,System,Pedido de revisão da competência do utilizador cancelado.,System,Annullata richiesta di revisione competenza dell'utente.,System,Demande de validation de compétence utilisateur annulée.,System,Anfrage zur Nutzerkompetenzprüfung abgebrochen,System,S'ha cancel·lat la petició de revisió de la competència de l'usuari.,System,User competency review request cancelled.,System,User competency review request cancelled.
USER_COMPETENCY_REVIEW_REQUESTED,SYSTEM,\core\event\competency_user_competency_review_requested,Participating,update,competency_usercomp,3.1,,System,Pedido de revisão da competência do utilizador.,System,Richiesta revisione c,System,Validation de compétence utilisateur demandée.,System,Nutzerkompetenzprüfung angefragt,System,S'ha demanat la revisió de la competència de l'usuari.,System,User competency review requested.,System,User competency review requested.
USER_COMPETENCY_REVIEW_STARTED,SYSTEM,\core\event\competency_user_competency_review_started,Teaching,update,competency_usercomp,3.1,,System,Revisão da competência do utilizador iniciada.,System,Iniziata revisione competenza dell'utente.,System,Validation de compétence utilisateur commencée.,System,Nutzerkompetenzprüfung begonnen,System,S'ha començat la revisió de la competència de l'usuari.,System,User competency review started.,System,User competency review started.
USER_COMPETENCY_REVIEW_STOPPED,SYSTEM,\core\event\competency_user_competency_review_stopped,Teaching,update,competency_usercomp,3.1,,System,Revisão da competência do utilizador terminada.,System,Fermata revisione competenza dell'utente.,System,Validation de compétence utilisateur arrêtée.,System,Nutzerkompetenzprüfung angehalten,System,S'ha aturat la revisió de la competència de l'usuari.,System,User competency review stopped.,System,User competency review stopped.
USER_COMPETENCY_VIEWED,SYSTEM,\core\event\competency_user_competency_viewed,Participating,read,competency_usercomp,3.1,,System,Competência do utilizador visualizada.,System,Visualizzata competenza utente.,System,Compétence utilisateur consultée,System,Nutzerkompetenz angezeigt,System,S'ha visualitzat la competència de l'usuari.,System,User competency viewed.,System,User competency viewed.
USER_COMPETENCY_VIEWED_IN_A_COURSE,SYSTEM,\core\event\competency_user_competency_viewed_in_course,Participating,read,competency_usercompcourse,3.1,,System,Competência do utilizador visualizada numa disciplina.,System,Visualizzata competenza utente in un corso.,System,Compétence utilisateur consultée dans un cours,System,Nutzerkompetenz im Kurs angezeigt,System,Competència de l'usuari visualitzada en un curs.,System,User competency viewed in a course.,System,User competency viewed in a course.
USER_COMPETENCY_VIEWED_IN_A_LEARNING_PLAN,SYSTEM,\core\event\competency_user_competency_viewed_in_plan,Participating,read,competency_usercomp,3.1,,System,Competência do utilizador visualizada num plano de aprendizagem.,System,Visualizzata competenza utente in un piano di formazione.,System,Compétence utilisateur consultée dans un plan de formation,System,Nutzerkompetenz im Lernplan angezeigt,System,Competència de l'usuari visualitzada en un pla d'aprenentatge.,System,User competency viewed in a learning plan.,System,User competency viewed in a learning plan.
EVIDENCE_OF_PRIOR_LEARNING_CREATED,SYSTEM,\core\event\competency_user_evidence_created,Other,create,competency_userevidence,3.1,,System,Comprovativo de aprendizagem anterior criado.,System,Creata attestazione della formazione pregressa.,System,Preuve d'acquis créée,System,Beleg über Vorkenntnisse angelegt,System,S'ha creat l'evidència d'aprenentatge previ.,System,Evidence of prior learning created.,System,Evidence of prior learning created.
EVIDENCE_OF_PRIOR_LEARNING_DELETED,SYSTEM,\core\event\competency_user_evidence_deleted,Other,delete,competency_userevidence,3.1,,System,Comprovativo de aprendizagem anterior eliminado.,System,Eliminata attestazione della formazione pregressa.,System,Preuve d'acquis supprimée,System,Beleg über Vorkenntnisse gelöscht,System,S'ha esborrat l'evidència d'aprenentatge previ.,System,Evidence of prior learning deleted.,System,Evidence of prior learning deleted.
EVIDENCE_OF_PRIOR_LEARNING_UPDATED,SYSTEM,\core\event\competency_user_evidence_updated,Other,update,competency_userevidence,3.1,,System,Comprovativo de aprendizagem anterior atualizado.,System,Aggiornata attestazione della formazione pregressa.,System,Preuve d'acquis modifiée,System,Beleg über Vorkenntnisse aktualisiert,System,S'ha actualitzat l'evidència d'aprenentatge previ.,System,Evidence of prior learning updated.,System,Evidence of prior learning updated.
COMPETENCY_VIEWED,SYSTEM,\core\event\competency_viewed,Other,read,competency,3.1,,System,Competência visualizada.,System,Visualizzata competenza.,System,Compétence consultée,System,Kompetenz angezeigt,System,S'ha visualitzat la competència.,System,Competency viewed.,System,Competencia vista.
DEFAULT_FOR_COURSE_ACTIVITY_COMPLETION_UPDATED,SYSTEM,\core\event\completion_defaults_updated,Other,update,course_completion_defaults,3.3,,System,Predefinição da conclusão de atividades da disciplina foi atualizada,System,Aggiornato default del completamento delle attività del corso,System,Réglage par défaut pour l'achèvement de l'activité modifié,System,Standard für Kursaktivitätsabschluss aktualisiert,System,S'ha actualitzat la compleció d'activitat del curs per defecte,System,Default for course activity completion updated,System,Valor por defecto para finalización de actividad de curso actualizado
CONFIG_LOG_CREATED,SYSTEM,\core\event\config_log_created,Other,create,config_log,,,System,Criado registo de configuração,System,Creato log della configurazione,System,Journal de configuration créé,System,Konfigurationsdaten erzeugt,System,S'ha creat el registre de configuració,System,Config log created,System,Registro de configuración creado
COURSE_BACKUP_CREATED,SYSTEM,\core\event\course_backup_created,Teaching,create,course,3.4,,System,Criada cópia de segurança da disciplina,System,Creato backup del corso,System,Sauvegarde de cours créée,System,Kurssicherung erstellt,System,S'ha creat la còpia de seguretat del curs,System,Course backup created,System,Copia de curso creada
CATEGORY_CREATED,SYSTEM,\core\event\course_category_created,Other,create,course_categories,2.7,,System,Categoria criada,System,Creata categoria,System,Catégorie créée,System,Kursbereich angelegt,System,Categoria creada,System,Category created,System,Categoría creada
CATEGORY_DELETED,SYSTEM,\core\event\course_category_deleted,Other,delete,course_categories,2.6,course_category_deleted,System,Categoria apagada,System,Eliminata categoria,System,Catégorie supprimée,System,Kursbereich gelöscht,System,Categoria suprimida,System,Category deleted,System,Categoría eliminada
CATEGORY_UPDATED,SYSTEM,\core\event\course_category_updated,Other,update,course_categories,2.7,,System,Categoria atualizada,System,Aggiornata categoria,System,Catégorie modifiée,System,Kursbereich aktualisiert,System,Categoria actualitzada,System,Category updated,System,Categoría actualizada
